Time,User,Executable,CommandLine,PID,ParentPID,Privileges
20171107022731.539072-480,XPS\dm771,C:\Program Files\Windows NT\Accessories\WORDPAD.EXE,"C:\Program Files\Windows NT\Accessories\WORDPAD.EXE" "C:\Users\dm771\AppData\Local\Temp\Temp1_bhvulnservice.zip\bhservice.rtf",15140,22056,SeChangeNotifyPrivilege
20171107023017.362229-480,XPS\dm771,C:\Python27\pythonw.exe,"C:\Python27\pythonw.exe" "C:\Python27\Lib\idlelib\idle.pyw" -e "C:\Users\dm771\Downloads\bhvulnservice\vulnservice.py",17040,22056,SeChangeNotifyPrivilege
20171107023123.049302-480,XPS\dm771,C:\Python27\pythonw.exe,C:\Python27\pythonw.exe -c __import__('idlelib.run').run.main(True) 60715,17540,17040,SeChangeNotifyPrivilege
20171107023543.531000-480,XPS\dm771,C:\Program Files\Mozilla Firefox\plugin-container.exe,"C:\Program Files\Mozilla Firefox\plugin-container.exe" --channel="6820.26.2105245056\1165512261" "C:\Users\dm771\AppData\Roaming\Mozilla\Firefox\Profiles\1ekyl6dq.default\gmp-widevinecdm\1.4.8.1008" -greomni "C:\Program Files\Mozilla Firefox\omni.ja" -appomni "C:\Program Files\Mozilla Firefox\browser\omni.ja" -appdir "C:\Program Files\Mozilla Firefox\browser"  6820 "\\.\pipe\gecko-crash-server-pipe.6820" geckomediaplugin,18892,6820,SeChangeNotifyPrivilege
20171107023940.985049-480,XPS\dm771,C:\Windows\system32\DllHost.exe,C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},14476,968,SeChangeNotifyPrivilege
20171107024400.074129-480,XPS\dm771,C:\Windows\system32\DllHost.exe,C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},13036,968,SeChangeNotifyPrivilege
20171107025021.337287-480,XPS\dm771,C:\Python27\pythonw.exe,C:\Python27\pythonw.exe -c __import__('idlelib.run').run.main(True) 60887,19472,13424,SeChangeNotifyPrivilege
20171107025124.051018-480,XPS\dm771,C:\Python27\pythonw.exe,C:\Python27\pythonw.exe -c __import__('idlelib.run').run.main(True) 60891,6180,13424,SeChangeNotifyPrivilege
20171107025124.311818-480,XPS\dm771,C:\Python27\pythonw.exe,C:\Python27\pythonw.exe -c __import__('idlelib.run').run.main(True) 60891,20204,13424,SeChangeNotifyPrivilege
20171107025538.311377-480,XPS\dm771,C:\Python27\pythonw.exe,C:\Python27\pythonw.exe -c __import__('idlelib.run').run.main(True) 60891,1532,13424,SeChangeNotifyPrivilege
20171107032337.553045-480,XPS\dm771,C:\Windows\System32\BackgroundTaskHost.exe,"C:\Windows\System32\BackgroundTaskHost.exe" -ServerName:BackgroundTaskHost.WebAccountProvider,14472,968,SeChangeNotifyPrivilege
20171107032337.115623-480,XPS\dm771,C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2017.39091.16340.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe,"C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2017.39091.16340.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe" -ServerName:App.AppXzst44mncqdg84v7sv6p7yznqwssy6f7f.mca,5652,968,SeChangeNotifyPrivilege
20171107033539.009606-480,XPS\dm771,C:\Windows\system32\msfeedssync.exe,C:\Windows\system32\msfeedssync.exe sync,1816,1436,SeChangeNotifyPrivilege
20171107033551.236398-480,XPS\dm771,C:\Program Files\Internet Explorer\IELowutil.exe,"C:\Program Files\Internet Explorer\IELowutil.exe" -PID:123,22508,1816,SeChangeNotifyPrivilege
20171107035849.048153-480,XPS\dm771,C:\Program Files\Mozilla Firefox\plugin-container.exe,"C:\Program Files\Mozilla Firefox\plugin-container.exe" --channel="6820.28.1772773875\1105669561" "C:\Users\dm771\AppData\Roaming\Mozilla\Firefox\Profiles\1ekyl6dq.default\gmp-widevinecdm\1.4.8.1008" -greomni "C:\Program Files\Mozilla Firefox\omni.ja" -appomni "C:\Program Files\Mozilla Firefox\browser\omni.ja" -appdir "C:\Program Files\Mozilla Firefox\browser"  6820 "\\.\pipe\gecko-crash-server-pipe.6820" geckomediaplugin,2968,6820,SeChangeNotifyPrivilege
20171107040029.845998-480,XPS\dm771,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe,"C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe" -ServerName:WindowsDefaultLockScreen.AppX7y4nbzq37zn4ks9k7amqjywdat7d3j2z.mca,15812,968,SeChangeNotifyPrivilege
20171107040029.773376-480,XPS\dm771,C:\Windows\System32\LockAppHost.exe,C:\Windows\System32\LockAppHost.exe -Embedding,6084,968,SeChangeNotifyPrivilege
20171107043228.207699-480,XPS\dm771,C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.8700.40535.0_x64__8wekyb3d8bbwe\HxTsr.exe,"C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.8700.40535.0_x64__8wekyb3d8bbwe\HxTsr.exe" -ServerName:Hx.IPC.Server,19952,968,SeChangeNotifyPrivilege
20171107044905.182708-480,XPS\dm771,C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.8700.40535.0_x64__8wekyb3d8bbwe\HxTsr.exe,"C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.8700.40535.0_x64__8wekyb3d8bbwe\HxTsr.exe" -ServerName:Hx.IPC.Server,21652,968,SeChangeNotifyPrivilege
20171107044910.509819-480,XPS\dm771,C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.8700.40535.0_x64__8wekyb3d8bbwe\HxTsr.exe,"C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_17.8700.40535.0_x64__8wekyb3d8bbwe\HxTsr.exe" -ServerName:Hx.IPC.Server,8764,968,SeChangeNotifyPrivilege
20171107045448.412266-480,XPS\dm771,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe,"C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe" -ServerName:WindowsDefaultLockScreen.AppX7y4nbzq37zn4ks9k7amqjywdat7d3j2z.mca,20140,968,SeChangeNotifyPrivilege
20171107050809.566990-480,XPS\dm771,c:\windows\system32\taskhostw.exe,taskhostw.exe,1660,1436,SeChangeNotifyPrivilege
20171107050809.684759-480,XPS\dm771,C:\Windows\System32\InstallAgent.exe,C:\Windows\System32\InstallAgent.exe -Embedding,16616,968,SeChangeNotifyPrivilege
20171107050809.932430-480,XPS\dm771,C:\Windows\System32\InstallAgentUserBroker.exe,C:\Windows\System32\InstallAgentUserBroker.exe -Embedding,18764,968,SeChangeNotifyPrivilege
20171107050819.046410-480,XPS\dm771,C:\Windows\system32\DllHost.exe,C:\Windows\system32\DllHost.exe /Processid:{AA65DD7C-83AC-48C0-A6FD-9B61FEBF8800},17352,968,SeChangeNotifyPrivilege
20171107050825.190040-480,XPS\dm771,C:\Windows\system32\backgroundTaskHost.exe,"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:App.AppXmtcan0h2tfbfy7k9kn8hbxb6dmzz1zh0.mca,6408,968,SeChangeNotifyPrivilege
20171107050833.424665-480,XPS\dm771,C:\Windows\system32\rundll32.exe,rundll32.exe AppXDeploymentExtensions.OneCore.dll,ShellRefresh,12032,8000,SeChangeNotifyPrivilege
20171107050844.004045-480,XPS\dm771,C:\Windows\system32\DllHost.exe,C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},13108,968,SeChangeNotifyPrivilege
20171107050844.817160-480,XPS\dm771,C:\Windows\system32\backgroundTaskHost.exe,"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca,10464,968,SeChangeNotifyPrivilege
20171107050844.746528-480,XPS\dm771,C:\Windows\system32\rundll32.exe,rundll32.exe AppXDeploymentExtensions.OneCore.dll,ShellRefresh,9828,8000,SeChangeNotifyPrivilege
20171107050910.318655-480,XPS\dm771,C:\Windows\system32\DllHost.exe,C:\Windows\system32\DllHost.exe /Processid:{AB8902B4-09CA-4BB6-B78D-A8F59079A8D5},21852,968,SeChangeNotifyPrivilege
20171107052128.520100-480,XPS\dm771,C:\Windows\system32\backgroundTaskHost.exe,"C:\Windows\system32\backgroundTaskHost.exe" -ServerName:CortanaUI.AppXy7vb4pc2dr3kc93kfc509b1d0arkfb2x.mca,3508,968,SeChangeNotifyPrivilege
20171107054300.330879-480,XPS\dm771,C:\Windows\system32\conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,19856,3496,SeChangeNotifyPrivilege
20171107054300.436905-480,XPS\dm771,C:\Python27\python.exe,C:\Python27\python.exe "C:\master\client.py" ,21532,3496,SeChangeNotifyPrivilege
20171107054300.324411-480,XPS\dm771,C:\Windows\py.exe,C:\Windows\py.exe "C:\master\client.py" ,3496,1436,SeChangeNotifyPrivilege
20171107060511.756728-480,XPS\dm771,C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe,"C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe" -ServerName:WindowsDefaultLockScreen.AppX7y4nbzq37zn4ks9k7amqjywdat7d3j2z.mca,21348,968,SeChangeNotifyPrivilege
